item_id,upc,name,variant_mrp,variant_uom_text
10211089,58484692,Tied Ribbons PVC Round Placemat Set (Golden)(Pack),1199,1 set (6 pieces)
10010584,8906000610688,McCain Potato Cheese Nuggets Shotz (Frozen)(Pack),130,250 g
10065666,8901372276234,Cello Sm0599 Biryani Handi (Non Stick)[Sm0599 Biryani],1199,1 unit
10269812,e9ef598e88938fa,"Knorr - Chicken Seasoning Powder, 500 gm Bulk",310,500 g
10236846,5b4bc82ef09f262,"Sweet Corn Cobb, 1 Piece",1,1 unit
10241361,ff1654be683a5bd,"SVC - Detergent Powder, 1 Kg",1,1 kg
10253668,ae8910672b49b1c,Thums Up - 250 ml Pet,1,250 ml
10253845,91f2e2f0c52ac47,"ZKP - Kabuli Chana/Chick Peas (Small), 5 Kg",1,5 kg
10253955,9082f8970e48852,"Kushi - White Round Container with Lid, 100 ml (Pack of 50)",1,1 unit
10255582,1153c533c9ac212,"ZKP - Poha (Getti Avalakki) Insititutional Pack, 10 Kg",1,1 unit
10255662,eba62f4f174c97a,Cleaning Caution Signage Board,1,1 unit
10255569,8c566006b31525a,"Bhagwati - RE-16, Rectangular Container 450 ml, Black with Lid (Pack of 50)",1,1 unit
10044332,8901207026294,Vatika Naturals Health Shampoo with Henna & Amla(Pack),649,640 ML
10240527,5070015613001,Motorzee Scooty/ Bike Cover(Pack),799,1 unit
10229860,644161102304,Lakeer A3 Coloured Sheets (Multicolour)(Pack),314,20 Sheets
10138359,8901383942104,Play & Learn World Map Jigsaw Puzzle(Pack),299,1 unit
10091890,511160048844,CCDS Brown Sugar(Pouch),200,500 g
10092985,8904150204566,Nutty Gritties Lightly Salted & Roasted Jumbo Flavoured Cashew(Packet),390,200 GM
10152423,9193068226880,Neon Snow Spray (Orange) by Star Holi Colors,299,250 ml
10127408,9789386313201,"Geronimo Stilton - Micekings#04 Stay Strong, Geronimo!",350,1 piece
10129160,9780545103756,Geronimo Stilton #43 I M Not A Supermouse!,350,1 piece
10134973,9788184779998,Captain Underpants #10: Captain Underpants and the Revolting Revenge of the Radioactive Robo-boxers,295,1 piece
10115062,8906090590327,Chef Urbano Quinoa Penne Pasta(Bottle),275,300 g
10131751,9789350098707,The 15 Invaluable Laws Of Growth,499,1 piece
10214717,20117247,Kibbo Penguin Kids Premium Plush Toy(Pack)[KID_PENGUN],699,1 unit
10147845,5018404712127,Travel Blue Tranquillity Memory Foam Travel Pillow Large ( Black)(Pack),2495,1 piece
10155796,748927068900,Optimum Nutrition (ON) Gold Standard Pre Workout (Fruit Punch)(Box),799,1 pack (15 x 9.5 g)
10133072,9788172341305,Taj Mahal Agra And Fatehpur Sikri (English),295,1 piece
10218409,8908003249414,Akshayakalpa Organic Mango Flavoured Greek Yogurt(Cup),60,90 g
10231701,9108830111840,The Wellness Shop Bamboo Shoot & Beetroot Deep Cleansing Face Scrub(Jar),499,50 g
10301534,8908019160147,IGP - Yellow Mothers Day Sunflower Bouquet(Box),399,1 pc
10240374,8909130560793,Dhoop Dani with Holder By Ekhasa(Pack),1499,1 unit
10240889,8905721849483,Ceramic Agarbatti Stand by Ekhasa(Box),2899,1 unit
10299879,21377066,"Ifazah Cleaning Cloth (Microfiber, Yellow)(Pack)",499,1 pc
10237587,8908003782218,Vijay Chapati(Pouch),60,420 g
10120013,8906084796346,Beardo Xxtra Strong Hold Men's Hair Spray(Bottle),399,150 ml
10034812,8904112603178,Pansari Royal Basmati Rice,1700,10 kg
10227621,238576136568,Mvista Strip of 10 Capsules(Pack),221.25,10 capsules
10273939,9789368902195,CBSE Class 10 Mathematics Sample Paper 2025-26(Packet),449,1 unit
10045927,8906036673985,Nandini Trupti Toned Milk (90 Days Shelf Life)(Polypack),25,500 ml
10001208,8902080104567,Pepsi Cola Soft Drink(Bottle),50,1.25 l
10273368,5949999396143,Zero Hype by Swada Originals Authentic Filter Coffee(Pouch),229,200 g
10293943,8939132323294,WE (Win Everyday) Coffee Cashew High Protein Cookies(Box),400,170 g
10297465,8934306032002,Rice Fusilli Pasta by Casarecce Artisanal Pasta(Box),450,250 g
10298077,8904458209256,Hilary Rhoda The Setting Duo Compact & Loose Face Powder (Beige 03)(Box),379,32 g
10026488,8906093570678,Green Bite Maida,30,500 g
10260798,9899678880431,Impulse Trendsetter Cabin-Size Laptop Cabin Hard Trolley Bag (Blue)(Pack),7999,1 unit
10294973,8906133117832,Speedex Simplex Stainless Steel Water Bottle (Pink & Blue)(Box)[Simplex 1000],598,1 pc
10271650,21200863,Jollyora Infant Teether Ball(Packet),999,1 piece
10055956,8904308448897,"HPS Sports Shorts (Black, S) - HPSTEE16",899,1 unit
10078212,810001610067,Vahdam Chamomile Mint Citrus Green Tea Bags(Box),250,1 pack ( 15 pieces)
10112937,8904377514912,The Art Loom Kraft Unruled Notebook - Best is Yet to Come (140 Pages)(Packet),180,1 piece
10116170,8908010245553,Pee Safe 100% Organic Cotton Tampons (Light Flow - Regular)(Box),279,1 pack (16 pieces)
